"Class","gdpc_0","gdpc_1","gdpc_2","gdpc_3","gdpc_4","gdpc_5","gdpc_6","gdpc_7","gdpc_8","gdpc_9","gdpc_10","gdpc_11","gdpc_12","gdpc_13","gdpc_14","gdpc_15","gdpc_16","gdpc_17","gdpc_18","gdpc_19","gdpc_20","gdpc_21","gdpc_22","gdpc_23","gdpc_24"
1,0.0180327868852,0.0213114754098,0.0262295081967,0.0491803278689,0.00327868852459,0.027868852459,0.072131147541,0.0327868852459,0.0950819672131,0.00819672131148,0.0245901639344,0.0295081967213,0.0196721311475,0.0918032786885,0.00819672131148,0.0426229508197,0.103278688525,0.0819672131148,0.190163934426,0.016393442623,0.00655737704918,0.00983606557377,0.0131147540984,0.00655737704918,0.0016393442623
1,0.0093023255814,0.0162790697674,0.0186046511628,0.053488372093,0.0093023255814,0.0232558139535,0.0581395348837,0.0255813953488,0.093023255814,0.00697674418605,0.0209302325581,0.0232558139535,0.0186046511628,0.0767441860465,0.0162790697674,0.046511627907,0.0906976744186,0.0790697674419,0.213953488372,0.0302325581395,0.0093023255814,0.0186046511628,0.0139534883721,0.0209302325581,0.00697674418605
1,0.0105633802817,0.0246478873239,0.0246478873239,0.0528169014085,0.0105633802817,0.0105633802817,0.0633802816901,0.0211267605634,0.12676056338,0.0140845070423,0.0140845070423,0.0352112676056,0.0281690140845,0.0457746478873,0.0140845070423,0.0704225352113,0.102112676056,0.0528169014085,0.204225352113,0.0176056338028,0.0176056338028,0.0105633802817,0.0105633802817,0.0176056338028,0
1,0.0141342756184,0.0212014134276,0.0106007067138,0.0742049469965,0.00706713780919,0.017667844523,0.0318021201413,0.0353356890459,0.106007067138,0.0141342756184,0.0212014134276,0.0247349823322,0.0212014134276,0.0600706713781,0.0106007067138,0.0671378091873,0.113074204947,0.0600706713781,0.222614840989,0.017667844523,0.00706713780919,0.0141342756184,0.0106007067138,0.017667844523,0
1,0.00684931506849,0.0102739726027,0.0102739726027,0.0684931506849,0.013698630137,0.013698630137,0.0445205479452,0.013698630137,0.116438356164,0.0102739726027,0.0171232876712,0.0308219178082,0.0239726027397,0.0547945205479,0.013698630137,0.0684931506849,0.0924657534247,0.0719178082192,0.219178082192,0.0308219178082,0.00342465753425,0.0205479452055,0.0205479452055,0.0239726027397,0
1,0.0179104477612,0.0208955223881,0.0089552238806,0.0626865671642,0.00597014925373,0.0179104477612,0.0567164179104,0.0537313432836,0.0985074626866,0.0149253731343,0.0149253731343,0.0268656716418,0.0149253731343,0.0865671641791,0.00298507462687,0.0597014925373,0.116417910448,0.0597014925373,0.170149253731,0.0298507462687,0.0089552238806,0.0208955223881,0.0089552238806,0.0149253731343,0.00597014925373
1,0.0223463687151,0.0195530726257,0.0111731843575,0.0614525139665,0.00837988826816,0.0167597765363,0.0642458100559,0.0391061452514,0.0977653631285,0.0223463687151,0.00837988826816,0.0307262569832,0.00558659217877,0.072625698324,0.00558659217877,0.072625698324,0.111731843575,0.0530726256983,0.18156424581,0.0251396648045,0.00558659217877,0.0139664804469,0.0139664804469,0.0279329608939,0.00837988826816
1,0.0123203285421,0.0266940451745,0.0246406570842,0.0574948665298,0.0225872689938,0.0308008213552,0.0780287474333,0.0492813141684,0.0944558521561,0.0225872689938,0.0246406570842,0.041067761807,0.0205338809035,0.0451745379877,0.0205338809035,0.0718685831622,0.0944558521561,0.0349075975359,0.088295687885,0.0308008213552,0.00616016427105,0.0349075975359,0.0225872689938,0.0328542094456,0.0123203285421
1,0.0218253968254,0.0218253968254,0.0277777777778,0.0575396825397,0.0198412698413,0.0396825396825,0.077380952381,0.047619047619,0.0734126984127,0.0277777777778,0.0257936507937,0.0416666666667,0.0198412698413,0.0555555555556,0.015873015873,0.047619047619,0.0853174603175,0.0416666666667,0.093253968254,0.0396825396825,0.015873015873,0.0396825396825,0.0218253968254,0.0257936507937,0.015873015873
1,0.00947867298578,0.0236966824645,0.0236966824645,0.0758293838863,0,0.0142180094787,0.0521327014218,0.0331753554502,0.0995260663507,0.0189573459716,0.00947867298578,0.0142180094787,0.0189573459716,0.0805687203791,0.00473933649289,0.0995260663507,0.118483412322,0.0473933649289,0.199052132701,0.0142180094787,0.00473933649289,0.00947867298578,0.00473933649289,0.0189573459716,0.00473933649289
1,0.00934579439252,0.0280373831776,0.0233644859813,0.0514018691589,0.00934579439252,0,0.0467289719626,0.0327102803738,0.116822429907,0.00934579439252,0.0233644859813,0.0140186915888,0.00934579439252,0.0747663551402,0.00934579439252,0.088785046729,0.107476635514,0.0607476635514,0.224299065421,0.0140186915888,0.00467289719626,0.00934579439252,0.00467289719626,0.0233644859813,0.00467289719626
1,0.012030075188,0.0345864661654,0.018045112782,0.0360902255639,0.0105263157895,0.0315789473684,0.0496240601504,0.0210526315789,0.114285714286,0.0240601503759,0.015037593985,0.0285714285714,0.0165413533835,0.0586466165414,0.015037593985,0.0421052631579,0.102255639098,0.0676691729323,0.183458646617,0.0315789473684,0.0105263157895,0.0255639097744,0.0105263157895,0.0345864661654,0.00601503759398
1,0.00754147812971,0.0286576168929,0.0135746606335,0.0497737556561,0.0150829562594,0.0286576168929,0.0633484162896,0.0241327300151,0.107088989442,0.0180995475113,0.0196078431373,0.0241327300151,0.0105580693816,0.0633484162896,0.0105580693816,0.0482654600302,0.10407239819,0.0633484162896,0.177978883861,0.0361990950226,0.0105580693816,0.0211161387632,0.0165912518854,0.0316742081448,0.00603318250377
1,0.0121028744327,0.0302571860817,0.0196671709531,0.0393343419062,0.0136157337368,0.0332829046899,0.0605143721634,0.036308623298,0.101361573374,0.0242057488654,0.0166414523449,0.0317700453858,0.0196671709531,0.0590015128593,0.0121028744327,0.0438729198185,0.101361573374,0.052950075643,0.166414523449,0.0347957639939,0.00907715582451,0.0317700453858,0.0105900151286,0.0332829046899,0.00605143721634
1,0.0314465408805,0.0188679245283,0.0188679245283,0.0660377358491,0.00314465408805,0.0283018867925,0.0188679245283,0.0251572327044,0.0880503144654,0.0157232704403,0.0188679245283,0.0283018867925,0.00943396226415,0.0691823899371,0.0157232704403,0.0534591194969,0.0911949685535,0.0754716981132,0.232704402516,0.0283018867925,0.0062893081761,0.0188679245283,0.0125786163522,0.0251572327044,0
