"Class","kmer_0","kmer_1","kmer_2","kmer_3","kmer_4","kmer_5","kmer_6","kmer_7","kmer_8","kmer_9","kmer_10","kmer_11","kmer_12","kmer_13","kmer_14","kmer_15","kmer_16","kmer_17","kmer_18","kmer_19"
1,0.11620295,0.00163666,0.06873977,0.10474632,0.02454992,0.07692308,0.00654664,0.06055646,0.07364975,0.08183306,0.01309329,0.03600655,0.03764321,0.05400982,0.03927987,0.04091653,0.06546645,0.08510638,0,0.01309329
1,0.10208817,0.00232019,0.06728538,0.08816705,0.03712297,0.10672854,0.0162413,0.07656613,0.05336427,0.07192575,0.02784223,0.05568445,0.02552204,0.01856148,0.03944316,0.0487239,0.05568445,0.07424594,0.00232019,0.03016241
1,0.10526316,0.01052632,0.03157895,0.10526316,0.03157895,0.09824561,0.03157895,0.05614035,0.07017544,0.07017544,0.03157895,0.03508772,0.04561404,0.0245614,0.02105263,0.05964912,0.05964912,0.0877193,0,0.0245614
1,0.10915493,0.01056338,0.05985915,0.07746479,0.02112676,0.1056338,0.03521127,0.08098592,0.08098592,0.05985915,0.02816901,0.03521127,0.03873239,0.02464789,0.01056338,0.04577465,0.04929577,0.09859155,0.00704225,0.02112676
1,0.1331058,0.00682594,0.04095563,0.09897611,0.03412969,0.10580205,0.02730375,0.07508532,0.05802048,0.06484642,0.02389078,0.04778157,0.03754266,0.02730375,0.02389078,0.03754266,0.04095563,0.08191126,0.00682594,0.02730375
1,0.10119048,0.00595238,0.07738095,0.06845238,0.0297619,0.08333333,0.01488095,0.04166667,0.0625,0.07738095,0.02380952,0.04464286,0.02380952,0.03571429,0.04166667,0.05357143,0.07738095,0.10714286,0.00595238,0.02380952
1,0.08913649,0.00835655,0.06406685,0.05849582,0.03899721,0.09470752,0.01671309,0.05571031,0.06685237,0.06685237,0.02785515,0.05013928,0.02785515,0.02506964,0.04178273,0.05292479,0.07520891,0.1086351,0.00557103,0.02506964
1,0.05942623,0,0.07172131,0.07991803,0.05737705,0.06147541,0.02663934,0.04713115,0.05532787,0.06147541,0.01844262,0.06352459,0.06147541,0.03688525,0.06352459,0.05532787,0.05737705,0.07172131,0.01434426,0.03688525
1,0.05544554,0.0039604,0.08316832,0.07524752,0.06336634,0.07722772,0.02970297,0.04752475,0.05742574,0.04950495,0.02970297,0.06138614,0.05148515,0.04950495,0.06336634,0.03960396,0.05940594,0.04752475,0.01386139,0.04158416
1,0.11320755,0,0.06132075,0.06603774,0.03301887,0.06603774,0.03773585,0.0990566,0.06132075,0.10849057,0.01886792,0.04716981,0.03301887,0.02358491,0.03773585,0.04245283,0.07075472,0.07075472,0.00471698,0.00471698
1,0.13023256,0.00465116,0.04651163,0.08372093,0.0372093,0.06511628,0.03255814,0.09767442,0.06046512,0.07906977,0.01860465,0.04651163,0.03255814,0.01860465,0.03255814,0.04186047,0.06046512,0.10232558,0.00465116,0.00465116
1,0.11861862,0.0015015,0.05555556,0.07807808,0.03153153,0.08708709,0.02402402,0.04054054,0.04804805,0.07957958,0.03303303,0.04354354,0.03903904,0.02552553,0.03903904,0.06756757,0.06306306,0.06906907,0.01501502,0.04054054
1,0.11144578,0.00150602,0.05271084,0.0753012,0.0376506,0.09186747,0.02259036,0.04216867,0.05873494,0.0873494,0.02259036,0.04518072,0.04518072,0.02710843,0.03313253,0.06777108,0.05421687,0.0753012,0.01506024,0.03313253
1,0.08912387,0,0.04833837,0.09063444,0.04380665,0.09063444,0.02567976,0.03625378,0.05740181,0.09214502,0.01963746,0.05438066,0.04531722,0.02265861,0.03172205,0.07854985,0.05438066,0.07250755,0.01208459,0.0347432
1,0.0846395,0,0.06896552,0.07210031,0.03448276,0.12852665,0.02507837,0.0846395,0.04702194,0.10031348,0.01567398,0.03448276,0.01880878,0.01880878,0.06583072,0.05015674,0.05329154,0.06896552,0.0031348,0.02507837
1,0.11675127,0.00253807,0.07614213,0.08629442,0.03807107,0.09137056,0.01522843,0.05329949,0.09390863,0.08629442,0.02284264,0.03553299,0.03553299,0.01015228,0.03299492,0.04822335,0.03807107,0.09137056,0.00507614,0.02030457
1,0.1010101,0.00252525,0.07575758,0.07828283,0.04545455,0.10353535,0.01262626,0.05808081,0.0959596,0.1010101,0.02020202,0.03787879,0.03282828,0.01262626,0.02020202,0.05050505,0.0530303,0.08585859,0.00505051,0.00757576
1,0.1080402,0,0.0678392,0.08542714,0.03768844,0.11557789,0.00753769,0.06532663,0.08542714,0.09296482,0.01256281,0.04271357,0.03015075,0.0201005,0.02512563,0.04773869,0.04271357,0.09045226,0.00753769,0.01507538
1,0.09799555,0,0.07126949,0.07349666,0.04899777,0.077951,0.01336303,0.05567929,0.07349666,0.0935412,0.01336303,0.04008909,0.03340757,0.03563474,0.03563474,0.05567929,0.05122494,0.06904232,0.00890869,0.05122494
1,0.09019608,0,0.07058824,0.08431373,0.04313725,0.07647059,0.03137255,0.06666667,0.07058824,0.0745098,0.02352941,0.06078431,0.04705882,0.01960784,0.03529412,0.04705882,0.05294118,0.07647059,0.00588235,0.02352941
1,0.10454545,0.00909091,0.07272727,0.09545455,0.03181818,0.06818182,0.01363636,0.09090909,0.07727273,0.11363636,0.01363636,0.03636364,0.02272727,0.02272727,0.02727273,0.05454545,0.05,0.07272727,0.00454545,0.01818182
1,0.07555556,0.00444444,0.05333333,0.09555556,0.05333333,0.08666667,0.02,0.04888889,0.07333333,0.10444444,0.02,0.04666667,0.03111111,0.02666667,0.03333333,0.05333333,0.05777778,0.06,0.00666667,0.04888889
1,0.09333333,0,0.06888889,0.07777778,0.05777778,0.08444444,0.02,0.05333333,0.08222222,0.09111111,0.00666667,0.05333333,0.03333333,0.01555556,0.03333333,0.05111111,0.05111111,0.07111111,0.00666667,0.04888889
1,0.15139442,0.01593625,0.05577689,0.0876494,0.03187251,0.07569721,0.01593625,0.07171315,0.05179283,0.06374502,0.01195219,0.03585657,0.03187251,0.03585657,0.03984064,0.05976096,0.05179283,0.07569721,0.01195219,0.02390438
1,0.10671937,0.01185771,0.05533597,0.1027668,0.02766798,0.08300395,0.01581028,0.06719368,0.07905138,0.05928854,0.01976285,0.03952569,0.03162055,0.03952569,0.02371542,0.05928854,0.06324111,0.08695652,0.00790514,0.01976285
1,0.15873016,0.01984127,0.07142857,0.07142857,0.03571429,0.07142857,0.00793651,0.03571429,0.06746032,0.06746032,0.01984127,0.03968254,0.03571429,0.03174603,0.01984127,0.05555556,0.04365079,0.11111111,0.00793651,0.02777778
1,0.09965035,0.0034965,0.06118881,0.10664336,0.03496503,0.05944056,0.01223776,0.06643357,0.06643357,0.09965035,0.03321678,0.03671329,0.03146853,0.02447552,0.04370629,0.05944056,0.05594406,0.07692308,0.0034965,0.02447552
1,0.09440559,0.00699301,0.07167832,0.09265734,0.03146853,0.06118881,0.01048951,0.07692308,0.05944056,0.0979021,0.03146853,0.05244755,0.03321678,0.03671329,0.04195804,0.0472028,0.05244755,0.07342657,0.00174825,0.02622378
1,0.13171577,0.0034662,0.06932409,0.09185442,0.03639515,0.05892548,0.01386482,0.05545927,0.05372617,0.08838821,0.04506066,0.03812825,0.03119584,0.03639515,0.03986135,0.04506066,0.05545927,0.0779896,0.0034662,0.02426343
1,0.11351351,0,0.06216216,0.08648649,0.03513514,0.06756757,0.00810811,0.06486486,0.06486486,0.07027027,0.02702703,0.04594595,0.04324324,0.06486486,0.04594595,0.03783784,0.05405405,0.05405405,0.01081081,0.04324324
1,0.09538462,0,0.05538462,0.09846154,0.04307692,0.09230769,0.00923077,0.07076923,0.04923077,0.07076923,0.02461538,0.03076923,0.04307692,0.04,0.04615385,0.04615385,0.05230769,0.10769231,0.00307692,0.02153846
1,0.13255814,0.00232558,0.0627907,0.09767442,0.0255814,0.06976744,0.01860465,0.06744186,0.08372093,0.0627907,0.01860465,0.04883721,0.04883721,0.0372093,0.03023256,0.03488372,0.04651163,0.09069767,0.00465116,0.01627907
1,0.11764706,0,0.0625,0.10110294,0.03308824,0.07720588,0.02022059,0.0625,0.07536765,0.05698529,0.01654412,0.03676471,0.05330882,0.02757353,0.02573529,0.05698529,0.06617647,0.09007353,0.00551471,0.01470588
1,0.12093023,0.00232558,0.06511628,0.1,0.0255814,0.06976744,0.0255814,0.06744186,0.0744186,0.05581395,0.02325581,0.03953488,0.05116279,0.0255814,0.03255814,0.05348837,0.05348837,0.09302326,0.00930233,0.01162791
1,0.11276596,0.00851064,0.03617021,0.08297872,0.02553191,0.11276596,0.01702128,0.08085106,0.06595745,0.06170213,0.02553191,0.03829787,0.03617021,0.02765957,0.02553191,0.03829787,0.06808511,0.10851064,0.00212766,0.02553191
1,0.10278373,0.00428266,0.04282655,0.09207709,0.02997859,0.11349036,0.01713062,0.07280514,0.07280514,0.08137045,0.01713062,0.04068522,0.0385439,0.01498929,0.03211991,0.04496788,0.06423983,0.09207709,0.00214133,0.0235546
1,0.10897436,0.00641026,0.04273504,0.09188034,0.03205128,0.11111111,0.01495726,0.07264957,0.07264957,0.07692308,0.02136752,0.04273504,0.03205128,0.02777778,0.02136752,0.0491453,0.05769231,0.09188034,0,0.02564103
1,0.09230769,0.0034188,0.05299145,0.08034188,0.02051282,0.08717949,0.01880342,0.08376068,0.07521368,0.07179487,0.02393162,0.04273504,0.03247863,0.03418803,0.03418803,0.04957265,0.07008547,0.11282051,0.0017094,0.01196581
